ID,Seq,Content,Human,AliSentiment,AliPositive_prob,AliNeutral_prob,AliNegative_prob,AliRequestId,BaiduSentiment,BaiduConfidence,BaiduPositive_prob,BaiduNegative_prob,BaiduLogid,GenAI_gpt4omini_Sentiment,GenAI_gpt4omini_Model,GenAI_gpt54mini_Sentiment,GenAI_gpt54mini_Model,GenAI_deepseekv4flash_Sentiment,GenAI_deepseekv4flash_Model
1,2,我今天赢得了比赛，感觉非常兴奋和自豪。😊😊😊,P,正面,0.9693,0.0015,0.0292,476EA5F0-FB68-5876-90B0-F7F0BCB12C5E,积极,0.999774,0.999898,0.000101719,2048825378990466699,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
2,4,他的微笑总是能让我心情愉快。,P,中性,0.2121,0.6525,0.1342,546F7427-6B21-5867-9714-7E9003052270,积极,0.981608,0.991724,0.00827624,2048825405130285875,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
3,6,今天的天气非常美，阳光明媚。,P,正面,0.9685,0.0046,0.0268,AF688A9B-441A-5E16-99ED-0DD77907B66B,积极,0.998006,0.999103,0.00089722,2048825427316338750,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
4,8,我最喜欢的歌曲总是能够让我感到愉悦。,P,正面,0.943,0.0433,0.0133,A36030FF-0B99-5577-A76A-82AF3C75DC57,积极,0.999941,0.999974,2.63361e-05,2048825448605953916,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
5,10,我刚刚收到了一份令人激动的工作提议。💖,P,正面,0.9781,0.0126,0.0092,6F943D66-FC51-5E2E-8B47-ED9C03B9DDBC,积极,0.999358,0.999711,0.000288821,2048825476037079879,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
6,12,我和家人一起度过了一个美好的周末。,P,正面,0.8753,0.0634,0.061,F5ADA25D-3A8D-514C-BD5F-63337B704416,积极,0.998967,0.999535,0.000464709,2048825506725787271,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
7,14,这部电影真是太感人了，我热泪盈眶。,P,正面,0.8916,0.0344,0.0739,1E4D4CEE-3521-57C0-894E-B34BB7889BCC,积极,0.999893,0.999952,4.80774e-05,2048825532090865067,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
8,16,我的朋友们总是支持我，让我觉得很幸运。,P,正面,0.9758,0.0037,0.0204,53C60CD8-D9B9-5E07-9DE7-EB5E5A60F31F,积极,0.999545,0.999795,0.00020459,2048825554111614146,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
9,18,我刚刚完成了一个具有挑战性的项目，感到非常满足。,P,正面,0.9893,0.0014,0.0093,68C00126-91BF-5D41-A632-4BD737EF7408,积极,0.998628,0.999382,0.000617571,2048825579341596346,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
10,20,我的宠物狗总是给我带来无尽的快乐和陪伴。,P,正面,0.9623,0.0257,0.0119,DE146D56-6481-53B4-8E27-9BE40CA340C0,积极,0.986542,0.993944,0.00605598,2048825601360406177,积极,gpt-4o-mini,积极,gpt-5.4-mini,消极,deepseek-v4-flash
11,22,我今天丢失了我的钱包，感到非常沮丧和焦虑。,N,负面,0.3558,0.0418,0.6024,60EBC6ED-153D-5619-B96E-36B7AFD535CA,消极,0.954306,0.0205623,0.979438,2048825629000190892,消极,gpt-4o-mini,消极,gpt-5.4-mini,积极,deepseek-v4-flash
12,24,那个人对我说了一些伤人的话，让我感到很伤心。,N,负面,0.0071,0.0026,0.9902,F4067836-2D3D-5DEB-9819-0D8E29395873,消极,0.974563,0.0114468,0.988553,2048825652163730236,消极,gpt-4o-mini,消极,gpt-5.4-mini,积极,deepseek-v4-flash
