ID,Seq,Content,Human
1,2,我今天赢得了比赛，感觉非常兴奋和自豪。😊😊😊,P
2,4,他的微笑总是能让我心情愉快。,P
3,6,今天的天气非常美，阳光明媚。,P
4,8,我最喜欢的歌曲总是能够让我感到愉悦。,P
5,10,我刚刚收到了一份令人激动的工作提议。💖,P
6,12,我和家人一起度过了一个美好的周末。,P
7,14,这部电影真是太感人了，我热泪盈眶。,P
8,16,我的朋友们总是支持我，让我觉得很幸运。,P
9,18,我刚刚完成了一个具有挑战性的项目，感到非常满足。,P
10,20,我的宠物狗总是给我带来无尽的快乐和陪伴。,P
11,22,我今天丢失了我的钱包，感到非常沮丧和焦虑。,N
12,24,那个人对我说了一些伤人的话，让我感到很伤心。,N
13,26,我的健康状况不佳，让我感到很痛苦。,N
14,28,我的计划遭遇了一连串的挫折，让我感到沮丧。😢😢,N
15,30,我刚刚失去了一份重要的工作机会，感到非常失落。,N
16,32,那场比赛我们输了，感到非常沮丧。,N
17,34,😡😡😡我的朋友因为一些误解而生气，让我感到很不愉快。,N
18,36,我的电脑坏了，这让我感到很恼火。,N
19,38,我们计划的度假因天气原因取消了，感到非常失望。,N
20,40,我感到孤独和无助😭😭，需要一些支持和关心。,N
